State,Year,"Female life expectancy (state, years)","Male life expectancy (state, years)"
Oklahoma,2001,77.72,72.46
Oklahoma,2002,77.56,72.35
Oklahoma,2003,77.57,72.38
Oklahoma,2004,77.81,72.6
Oklahoma,2005,77.64,72.63
Oklahoma,2006,77.83,72.63
Oklahoma,2007,77.85,72.69
Oklahoma,2008,78,73.02
Oklahoma,2009,77.76,72.83
Oklahoma,2010,78.04,73.15
Oregon,1985,78.71,72.01
Oregon,1986,78.8,72.07
Oregon,1987,78.88,72.22
Oregon,1988,78.83,72.34
Oregon,1989,78.97,72.65
Oregon,1990,79.15,72.88
Oregon,1991,79.26,73.25
Oregon,1992,79.45,73.54
Oregon,1993,79.39,73.62
Oregon,1994,79.37,73.7
Oregon,1995,79.34,73.81
Oregon,1996,79.4,73.92
Oregon,1997,79.46,74.35
Oregon,1998,79.59,74.67
Oregon,1999,79.65,74.96
Oregon,2000,79.65,75.22
Oregon,2001,79.61,75.29
Oregon,2002,79.58,75.36
Oregon,2003,79.76,75.48
Oregon,2004,80.05,75.79
Oregon,2005,80.18,75.89
Oregon,2006,80.45,76.17
Oregon,2007,80.67,76.32
Oregon,2008,80.88,76.53
Oregon,2009,80.94,76.68
Oregon,2010,81.18,76.98
Pennsylvania,1985,77.46,70.75
Pennsylvania,1986,77.59,70.87
Pennsylvania,1987,77.7,71.01
Pennsylvania,1988,77.75,71.07
Pennsylvania,1989,77.97,71.28
Pennsylvania,1990,78.23,71.63
Pennsylvania,1991,78.35,71.98
Pennsylvania,1992,78.57,72.13
Pennsylvania,1993,78.6,72.25
Pennsylvania,1994,78.64,72.37
Pennsylvania,1995,78.71,72.48
Pennsylvania,1996,78.8,72.69
Pennsylvania,1997,78.94,73.09
Pennsylvania,1998,79.17,73.52
Pennsylvania,1999,79.16,73.76
Pennsylvania,2000,79.2,73.85
Pennsylvania,2001,79.18,73.97
Pennsylvania,2002,79.25,74.03
Pennsylvania,2003,79.39,74.16
Pennsylvania,2004,79.64,74.35
Pennsylvania,2005,79.73,74.47
Pennsylvania,2006,79.95,74.67
Pennsylvania,2007,80.18,74.96
Pennsylvania,2008,80.29,75.23
Pennsylvania,2009,80.37,75.36
Pennsylvania,2010,80.65,75.66
Rhode Island,1985,78.54,71.72
Rhode Island,1986,78.57,71.85
Rhode Island,1987,78.75,71.98
Rhode Island,1988,78.85,72.04
Rhode Island,1989,79.16,72.35
Rhode Island,1990,79.24,72.7
Rhode Island,1991,79.38,73.1
Rhode Island,1992,79.64,73.36
Rhode Island,1993,79.69,73.58
Rhode Island,1994,79.86,73.76
Rhode Island,1995,79.92,73.91
Rhode Island,1996,80.03,74.25
Rhode Island,1997,80.1,74.57
Rhode Island,1998,80.41,74.86
Rhode Island,1999,80.2,75.12
Rhode Island,2000,80.19,75.11
Rhode Island,2001,80.18,75.23
Rhode Island,2002,80.26,75.19
Rhode Island,2003,80.32,75.29
Rhode Island,2004,80.68,75.67
Rhode Island,2005,80.92,75.85
Rhode Island,2006,81.07,76.07
Rhode Island,2007,81.2,76.33
Rhode Island,2008,81.33,76.4
Rhode Island,2009,81.35,76.48
Rhode Island,2010,81.43,76.69
South Carolina,1985,76.28,68.65
South Carolina,1986,76.31,68.67
South Carolina,1987,76.46,68.77
South Carolina,1988,76.35,68.86
South Carolina,1989,76.5,69.03
South Carolina,1990,76.76,69.28
South Carolina,1991,76.9,69.46
South Carolina,1992,77.15,69.75
South Carolina,1993,77.21,69.86
South Carolina,1994,77.19,70.09
South Carolina,1995,77.2,70.16
South Carolina,1996,77.29,70.38
South Carolina,1997,77.43,70.79
South Carolina,1998,77.59,71.15
South Carolina,1999,77.56,71.41
South Carolina,2000,77.57,71.51
South Carolina,2001,77.63,71.57
South Carolina,2002,77.71,71.61
South Carolina,2003,77.78,71.77
South Carolina,2004,78.09,72.14
South Carolina,2005,78.24,72.33
South Carolina,2006,78.47,72.61
South Carolina,2007,78.68,72.83
South Carolina,2008,78.83,73.25
South Carolina,2009,78.92,73.42
South Carolina,2010,79.17,73.68
South Dakota,1985,79.62,71.96
South Dakota,1986,79.38,71.9
South Dakota,1987,79.45,72.13
South Dakota,1988,79.64,72.29
South Dakota,1989,79.9,72.51
South Dakota,1990,79.89,72.62
South Dakota,1991,80.03,72.9
South Dakota,1992,80.32,73.19
South Dakota,1993,80.19,73.05
South Dakota,1994,80.37,73.35
South Dakota,1995,80.19,73.35
South Dakota,1996,80.19,73.55
South Dakota,1997,80.27,74.01
South Dakota,1998,80.37,74.32
South Dakota,1999,80.34,74.48
South Dakota,2000,80.44,74.73
South Dakota,2001,80.45,74.74
South Dakota,2002,80.59,74.91
South Dakota,2003,80.61,75.11
South Dakota,2004,80.81,75.36
South Dakota,2005,80.87,75.51
South Dakota,2006,80.91,75.37
South Dakota,2007,81.05,75.93
South Dakota,2008,81.31,76.13
South Dakota,2009,81.23,76.22
South Dakota,2010,81.42,76.35
Tennessee,1985,77.26,69.54
Tennessee,1986,77.21,69.65
Tennessee,1987,77.4,69.66
Tennessee,1988,77.34,69.68
Tennessee,1989,77.48,69.86
Tennessee,1990,77.57,70.04
Tennessee,1991,77.63,70.19
Tennessee,1992,77.8,70.36
Tennessee,1993,77.77,70.42
Tennessee,1994,77.64,70.55
Tennessee,1995,77.56,70.53
Tennessee,1996,77.62,70.75
Tennessee,1997,77.64,71.07
Tennessee,1998,77.69,71.37
Tennessee,1999,77.7,71.62
Tennessee,2000,77.69,71.7
Tennessee,2001,77.64,71.77
Tennessee,2002,77.55,71.75
Tennessee,2003,77.61,71.8
Tennessee,2004,77.88,72.07
Tennessee,2005,77.91,72.23
Tennessee,2006,78.07,72.41
Tennessee,2007,78.29,72.62
Tennessee,2008,78.38,72.96
Tennessee,2009,78.43,73.07
Tennessee,2010,78.69,73.37
Texas,1985,78,70.51
Texas,1986,78.12,70.81
Texas,1987,78.21,70.94
Texas,1988,78.16,70.95
Texas,1989,78.28,71.09
Texas,1990,78.43,71.18
Texas,1991,78.51,71.39
Texas,1992,78.71,71.54
Texas,1993,78.69,71.75
Texas,1994,78.73,71.95
Texas,1995,78.76,72.23
Texas,1996,78.82,72.58
Texas,1997,78.88,73.05
Texas,1998,79.02,73.44
Texas,1999,78.95,73.71
Texas,2000,78.93,73.86
Texas,2001,78.92,73.9
Texas,2002,78.96,73.92
Texas,2003,79.07,74.07
Texas,2004,79.37,74.39
Texas,2005,79.56,74.6
Texas,2006,79.76,74.86
Texas,2007,79.93,75.1
Texas,2008,80.13,75.4
Texas,2009,80.1,75.46
Texas,2010,80.41,75.81
Utah,1985,79.41,73.63
Utah,1986,79.6,73.78
Utah,1987,79.61,73.89
Utah,1988,79.57,74.16
Utah,1989,79.74,74.53
Utah,1990,80.08,74.69
Utah,1991,80.24,75.06
Utah,1992,80.54,75.21
Utah,1993,80.36,75.35
Utah,1994,80.38,75.31
Utah,1995,80.43,75.41
Utah,1996,80.35,75.48
Utah,1997,80.4,75.82
Utah,1998,80.37,76.09
Utah,1999,80.37,76.13
Utah,2000,80.3,76.32
Utah,2001,80.3,76.25
Utah,2002,80.39,76.34
Utah,2003,80.32,76.4
Utah,2004,80.52,76.61
Utah,2005,80.77,76.87
Utah,2006,81,77.2
Utah,2007,81.1,77.41
Utah,2008,81.29,77.59
Utah,2009,81.3,77.76
Utah,2010,81.57,77.79
Vermont,1985,78.16,71.69
Vermont,1986,78.21,71.79
Vermont,1987,78.34,71.89
Vermont,1988,78.39,72.09
Vermont,1989,78.66,72.36
Vermont,1990,78.9,72.64
Vermont,1991,78.99,73.03
Vermont,1992,79.33,73.18
Vermont,1993,79.42,73.48
Vermont,1994,79.5,73.66
Vermont,1995,79.56,73.89
Vermont,1996,79.54,74.16
Vermont,1997,79.66,74.56
Vermont,1998,79.97,74.93
Vermont,1999,79.96,75.17
Vermont,2000,79.95,75.38
Vermont,2001,79.94,75.61
Vermont,2002,80.08,75.76
Vermont,2003,80.24,76.06
Vermont,2004,80.59,76.32
Vermont,2005,80.88,76.55
Vermont,2006,81.13,76.91
Vermont,2007,81.16,77.12
Vermont,2008,81.33,77.2
Vermont,2009,81.43,77.27
Vermont,2010,81.61,77.35
Virginia,1985,77.15,70.27
Virginia,1986,77.26,70.51
Virginia,1987,77.54,70.72
Virginia,1988,77.54,70.77
Virginia,1989,77.72,71.06
Virginia,1990,77.95,71.36
Virginia,1991,78.04,71.55
Virginia,1992,78.26,71.79
Virginia,1993,78.29,71.95
Virginia,1994,78.25,72.15
Virginia,1995,78.34,72.33
Virginia,1996,78.41,72.61
Virginia,1997,78.58,72.97
Virginia,1998,78.74,73.39
Virginia,1999,78.79,73.68
Virginia,2000,78.83,73.93
Virginia,2001,78.96,74.12
Virginia,2002,79.04,74.26
Virginia,2003,79.24,74.39
Virginia,2004,79.54,74.78
Virginia,2005,79.64,75
Virginia,2006,79.91,75.24
Virginia,2007,80.13,75.5
Virginia,2008,80.24,75.76
Virginia,2009,80.34,75.91
Virginia,2010,80.66,76.27
Washington,1985,78.79,72.51
Washington,1986,78.85,72.73
Washington,1987,78.99,72.91
Washington,1988,79,73.02
Washington,1989,79.2,73.32
Washington,1990,79.35,73.49
Washington,1991,79.49,73.86
Washington,1992,79.75,73.94
Washington,1993,79.72,74
Washington,1994,79.8,74.18
Washington,1995,79.84,74.36
Washington,1996,79.87,74.53
Washington,1997,79.96,75.01
Washington,1998,80.1,75.36
Washington,1999,80.11,75.57
Washington,2000,80.14,75.73
Washington,2001,80.16,75.8
Washington,2002,80.19,75.92
Washington,2003,80.28,76.02
Washington,2004,80.57,76.37
Washington,2005,80.69,76.47
Washington,2006,80.91,76.74
Washington,2007,81.01,77.04
Washington,2008,81.16,77.23
Washington,2009,81.22,77.31
Washington,2010,81.57,77.62
West Virginia,1985,77.11,69.85
West Virginia,1986,76.97,69.85
West Virginia,1987,77.05,69.88
West Virginia,1988,77.03,69.93
West Virginia,1989,77.15,70.09
West Virginia,1990,77.37,70.23
West Virginia,1991,77.4,70.28
West Virginia,1992,77.54,70.6
West Virginia,1993,77.57,70.76
West Virginia,1994,77.48,70.99
West Virginia,1995,77.41,71.13
West Virginia,1996,77.46,71.28
West Virginia,1997,77.5,71.62
West Virginia,1998,77.61,71.84
West Virginia,1999,77.62,71.99
West Virginia,2000,77.59,72.03
West Virginia,2001,77.6,72.13
West Virginia,2002,77.47,72.03
West Virginia,2003,77.55,72.07
West Virginia,2004,77.8,72.29
West Virginia,2005,77.61,72.35
West Virginia,2006,77.8,72.37
West Virginia,2007,77.91,72.31
West Virginia,2008,77.97,72.6
West Virginia,2009,77.84,72.46
West Virginia,2010,78.07,72.59
Wisconsin,1985,79.06,72.52
Wisconsin,1986,79.07,72.63
Wisconsin,1987,79.19,72.73
Wisconsin,1988,79.23,72.83
Wisconsin,1989,79.41,73.09
Wisconsin,1990,79.53,73.29
Wisconsin,1991,79.63,73.58
Wisconsin,1992,79.92,73.76
Wisconsin,1993,79.81,73.88
Wisconsin,1994,79.83,74
Wisconsin,1995,79.89,74.14
Wisconsin,1996,79.91,74.29
Wisconsin,1997,80.02,74.63
Wisconsin,1998,80.12,74.88
Wisconsin,1999,80.14,74.98
Wisconsin,2000,80.19,75.11
Wisconsin,2001,80.22,75.25
Wisconsin,2002,80.32,75.33
Wisconsin,2003,80.46,75.54
Wisconsin,2004,80.67,75.86
Wisconsin,2005,80.82,76.03
Wisconsin,2006,80.99,76.33
Wisconsin,2007,81.07,76.54
Wisconsin,2008,81.23,76.69
Wisconsin,2009,81.37,76.84
Wisconsin,2010,81.57,77.02
Wyoming,1985,78.6,71.96
Wyoming,1986,78.69,72.07
Wyoming,1987,78.81,72.3
Wyoming,1988,78.64,72.43
Wyoming,1989,78.69,72.63
Wyoming,1990,78.81,72.71
Wyoming,1991,78.88,73.16
Wyoming,1992,79.2,73.34
Wyoming,1993,79.11,73.28
Wyoming,1994,79.1,73.52
Wyoming,1995,79.16,73.54
Wyoming,1996,79.05,73.77
Wyoming,1997,79.21,74.03
Wyoming,1998,79.22,74.25
Wyoming,1999,79.28,74.43
Wyoming,2000,79.21,74.66
Wyoming,2001,79.21,74.64
Wyoming,2002,79.08,74.55
Wyoming,2003,79.23,74.73
Wyoming,2004,79.46,74.88
Wyoming,2005,79.56,75.23
Wyoming,2006,79.78,75.37
Wyoming,2007,79.86,75.46
Wyoming,2008,80.15,75.71
Wyoming,2009,79.87,75.59
Wyoming,2010,80.16,75.84
